,id,product_type,product_name,color_description,scent_description,taste_description,fruit_tasting,sugar_tasting,acidity_tasting,tannin_tasting,harmonizes_with,technical_sheet_wine_type,technical_sheet_volume,technical_sheet_closure_type,technical_sheet_service_temperature_in_celsius,technical_sheet_country,technical_sheet_region,technical_sheet_alcohol_content,technical_sheet_grapes,technical_sheet_producer,technical_sheet_crop_year,technical_sheet_cellaring_time,technical_sheet_maturation_time,specialist_review_content,specialist_review_owner,specialist_review_occupation,url
389,484,Vinho tinto espanhol,Castilla Real Tempranillo Joven La Mancha D.O. 2021,Vermelho-rubi brilhante com reflexos violáceos,"Expressivo e frutado, com notas de frutas vermelhas frescas e nuances herbáceas","Agradável, elegante, frutado, fácil de beber, com taninos macios, acidez equilibrada, corpo médio",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,18,Espanha,La Mancha,12.5,Tempranillo,Vinícola de Castilla,2021,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/castilla-real-joven-2021-319851.html
390,485,Vinho tinto espanhol,Señorio Don Mendo Tinto,Vermelho cereja,Aromas intensos de frutas vermelhas,"Macio, saboroso, vivaz e agradável",3,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Cariñena,12.5,Uvas variadas,Bodegas San Valero,,2025,Estágio em tanques de aço inoxidável,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/senorio-don-meldo-red-blend.html
391,488,Vinho tinto argentino,Finca Silverado Malbec 2024,Vermelho-rubi de intensidade média com reflexos violetas,"Aromas de frutas vermelhas maduras, com leves notas florais","Corpo médio e frutado, com taninos macios",4,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,13.3,Malbec,Belhara Estate,2024,2025,,"Elaborado com uvas colhidas manualmente dos solos da região vinícola de Mendoza, Finca Silverado é uma versão agradável e descomplicada do icônico Malbec argentino. Com aromas de frutas vermelhas maduras e leves notas florais, este exemplar apresenta corpo médio e frutado, e taninos macios. Na hora de harmonizar, aposte em carnes vermelhas e massas recheadas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/finca-silverado-malbec-2024.html
394,498,Vinho tinto chileno,Alpha Austral Winemaker's Selection,Vermelho-rubi ,"Aromas de frutas vermelhas frescas, como morango e framboesa","Agradável e fácil de beber, com taninos macios e acidez equilibrada",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos, Risoto e massas de molho branco",Vinho tinto,750ml,Rolha,16,Chile,Multirregional,12.5,Uvas variadas,Bodegas Y Vinedos Aguirre,,2025,,"Alpha Austral é uma homenagem ao céu, onde as estrelas mais brilhantes podem ser vistas, especialmente do Chile. Nesta versão produzida de maneira sustentável, ela se mostra um exemplar agradável e fácil de beber, com aromas de frutas vermelhas frescas, como morango e framboesa, ele revela taninos macios e acidez equilibrada em boca.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/alpha-austral-red-blend-232661.html
395,502,Vinho tinto italiano,Marchesi del Salento Primitivo Puglia IGT 2022,Vermelho-rubi brilhante,Frutas tropicais como framboesa e groselha,"Bastante frutado, com taninos macios e boa acidez",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,12,Primitivo,Castellani,2022,2025,Estágio em tanques de aço inoxidável,"É quando estamos na dúvida de qual vinho escolher que valorizamos o que este rótulo tem de sobra: tradição. Além de uma experiência secular, o grupo Castellani investe na sustentabilidade dos seus métodos. Não há dinheiro que pague a sensação de ter a consciência limpa, ainda mais quando ela vem acompanhada de um saboroso vinho italiano.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/marchesi-del-salento-primitivo-puglia-igt-2022.html
402,497,Vinho tinto chileno,Selection 92 Reserva Carménère Valle Central 2023,Vermelho-púrpura profundo,"Aromas intensos de frutas vermelhas maduras e especiarias, com notas de tabaco","Estruturado, com taninos macios e final agradável",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Carménère,Ravanal,2023,2025,,"Localizado entre o Pacífico e a Cordilheira dos Andes, o Chile se destaca como um dos grandes produtores de vinhos do Novo Mundo. Suas condições ideais de clima e solo resultam em rótulos de ótima qualidade e excelente custo-benefício, como este Selection 92 Reserva Carménère. Prepare-se para apreciar um tinto estruturado, com taninos macios e final agradável em boca, que revela aromas intensos de frutas vermelhas maduras e especiarias, e notas de tabaco e baunilha.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/ravanal-seleccion-92-reserva-carmenere-2023.html
405,522,Vinho tinto argentino,Viña de Los Andes Red Blend 2024,Vermelho-rubi,"Aromas suaves, frutados e frescos","Rico, marcante e com taninos suaves",3,2,2,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12.5,Uvas variadas,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-de-los-andes-red-blend-2024.html
408,527,Vinho tinto chileno,Fauna Winemaker Selection Red Blend,Vermelho-rubi translúcido,Frutas vermelhas como morango e cereja,"Frutado, equilibrado e com final médio",3,1,3,3,"Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha,15,Chile,,12.5,Uvas variadas,Bodegas y Viñedos de Aguirre,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/fauna-red-blend-232721.html
409,530,Vinho tinto argentino,Corazon de Luna Cabernet Sauvignon Reserva Valle Calchaquí 2023,Vermelho-rubi intenso com tons violáceos,"Aromas de frutas maduras e especiarias, ressaltando notas de ameixa e pimenta preta","Estruturado, apresenta taninos macios e redondos, resultando em final longo e persistente",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha sintética,18,Argentina,Salta,13.7,Cabernet Sauvignon,Las Flechas Group Bodegas Y Viñedos,2023,2025,8 meses em barricas de carvalho francês e tanques de aço inoxidável,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/corazon-de-luna-cabernet-sauvignon-reserva-2023.html
413,538,Vinho tinto espanhol,Viña Morena Vino Tinto,Vermelho-granada,Notas de frutas vermelhas,"Harmônico, com taninos firmes",4,1,3,3,,Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Castilha-La Mancha,10.5,"Garnacha, Tempranillo",Felix Solis,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/felix-solis-vina-morena-tinto.html
416,544,Vinho tinto italiano,Terre da Vino Barolo DOCG 2020,Vermelho-rubi intenso com leves reflexos alaranjados,"Aromas intensos e frutados, com notas de rosas, violetas secas e especiarias","Encorpado, robusto e harmonioso, com taninos intensos e agradáveis",5,1,4,4,"Carnes de caça, Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Itália,Piemonte,14,Nebbiolo,Terre da Vino,2020,2031,24 meses em barricas de carvalho,"Conhecido como “vinho dos reis e rei dos vinhos”, o Barolo é um dos rótulos mais famosos do mundo. Produzido com a uva Nebbiolo, ele apresenta complexidade, acidez e taninos marcantes. E, nesta versão elaborada pela vinícola Terre da Vino, ele ainda traz intensidade, potência, maciez e harmonia.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/terre-da-vino-barolo-docg-20.html
424,567,Vinho tinto argentino,Las Colinas de Los Andes Cabernet Sauvignon 2024,Vermelho-rubi brilhante,"Aromas de frutas vermelhas maduras, como cereja e framboesa, e notas de pimenta","Estruturado e sedoso, com taninos macios e final longo",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Argentina,Mendoza,12.5,Cabernet Sauvignon,Fecovita,2024,2028,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/fecovita-las-colinas-de-los-andes-cabernet-sauvignon-2024.html
425,561,Vinho tinto espanhol,Montefrio Tempranillo La Mancha D.O. 2018,Vermelho-rubi intenso,"Frutas maduras como ameixa, e notas de especiarias","Taninos finos e discretos, boa estrutura e acidez",3,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados",Vinho tinto,750ml,Rolha de cortiça,17,Espanha,La Mancha,12,Tempranillo,Felix Solis Avantis,2018,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/montefrio-tempranillo-la-mancha-d-o.html
429,571,Vinho tinto espanhol,Breckin Valley Tempranillo Vino de la Tierra de Castilla,Vermelho-rubi intenso,Morango e framboesa com toques de especiarias,Suculento e frutado com taninos redondos e final longo,4,1,2,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Tampa de rosca,16,Espanha,Castilla-La Mancha,12.5,Tempranillo,Marqués del Atrio,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/brecking-valley-tempranillo-100711.html
433,577,Vinho tinto espanhol,Torre del Homenaje Roble Garnacha 2022,Vermelho púrpura,Frutas vermelhas e especiarias ,"Frutado, macio e equilibrado",3,1,3,2,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Espanha,Navarra,13.3,Garnacha,Bodegas Marco Real,2022,2025,3 meses em barricas de carvalho francês,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/cremaschi-lagunas-carmenere-10.html
434,579,Vinho tinto argentino,Viña de Los Andes Malbec 2024,Vermelho violáceo intenso,"Encorpado, com taninos macios e acidez média",Notas intensas de frutas pretas e especiarias,4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Argentina,Mendoza,12.5,Malbec,Fecovita,2024,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-de-los-andes-malbec-2024.html
435,580,Vinho tinto europeu,Chevalier Saint-Louis Grand Vin de Tradition 2023,Vermelho-rubi,Frutas vermelhas e notas florais,"Frutado, macio e fresco",4,1,3,2,"Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Europeu,Multiregional,11,"Grenache, Syrah, Tempranillo",Domaine du Père Guillot,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/domaine-du-pere-guillot-chevalier-saint-louis-grand-vin-de-tradition-tempranillo-2023.html
441,600,Vinho tinto chileno,San Nazareno Winemaker Selection Cabernet Sauvignon 2024,Vermelho-rubi intenso,Aromas de frutas vermelhas frescas,"Macio, redondo e com taninos macios e maduros",4,1,3,3,"Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,,Chile,Valle del Maule,12.5,Cabernet Sauvignon,Bodega Y Viñedos de Aguirre,2024,2027,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodega-y-vinedo-de-aguirre-san-nazareno-cabernet-sauvignon-2024.html
442,602,Vinho branco chileno,San Nazareno Winemaker Selection Chardonnay 2024,Amarelo-esverdeado,Aromas de abacaxi e pêssego,Refrescante e com notas de frutas tropicais,3,1,4,1,,Vinho branco,750ml,Rolha de cortiça,6,Chile,Valle del Maule,12.5,Chardonnay,Bodegas y Viñedos de Aguirre,2024,2027,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/bodega-y-vinedo-de-aguirre-san-nazareno-chardonnay-2024.html
443,626,Vinho tinto chileno,Concha y Toro Exportacion Selecto Carménère 2023,Vermelho-rubi brilhante,"Aromas frutados, com notas de ervas e especiarias","Corpo médio, harmonioso e persistente, com taninos macios e final herbáceo",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Carménère,Concha Y Toro,2023,2025,,"Avaliada em 2019 como a mais admirada marca de vinhos pela Drinks International, a Concha y Toro é uma das vinícolas mais consagradas da América do Sul e do mundo. Tanto renome e experiência resultou nessa expressão da Carménère, uva ícone do Chile. Com aromas herbáceos, frutados e especiados, ele apresenta paladar harmonioso e macio.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/concha-y-toro-exportacion-selecto-carmenere-2023.html
445,607,Vinho branco argentino,Fecovita Viña de los Andes White Blend 2024,Amarelo brilhante com reflexos esverdeados,Aromas delicados de frutas cítricas e notas florais,"Fresco e harmônico, com final longo",3,1,4,1,,Vinho branco,750ml,Tampa de rosca,8,Argentina,Mendoza,12.5,"Blend, Chardonnay, Chenin Blanc, Torrontés",Fecovita,2024,2027,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/fecovita-vina-de-los-andes-white-blend-2024.html
452,617,Vinho rosé chileno,Isla Seca Winemaker Selection Rosé Syrah Central Valley D.O. 2024,Rosa cereja brilhante,Notas de frutas vermelhas frescas,Frutado e refrescante,3,1,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,6,Chile,Valle Central,12.5,Syrah,Bodegas y Viñedos de Aguirre,2024,2025,,"A francesa Syrah cultivada nos ricos terroirs do Chile protagoniza este rosé leve e encantador. Nesta versão de Isla Seca, prepare-se para sentir notas de frutas vermelhas no nariz, e frescor em boca. E na hora de harmonizar, aposte em um peixe grelhado com salada ou uma tarde na beira da piscina.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/isla-seca-winemaker-selection-rose-syrah-central-valley-d-o-2024.html
455,622,Vinho branco espanhol,Viñapeña Blanco,Amarelo-pálido com tons dourados,Frutas amarelas e flores brancas,"Refrescante, com sabores de frutas cítricas e damasco",4,1,3,1,"Carnes brancas, Saladas e aperitivos",Vinho branco,750ml,Rolha,16,Espanha,Multirregional,11,Airén,J. Garcia Carrion,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vi-ape-a-blanco-167571.html
459,363,Vinho tinto italiano,Miliasso 8 Vites Rosso Piemonte DOC 2022,Vermelho-rubi profundo,Frutas vermelhas com notas de especiarias picantes,"Encorpado com taninos presentes e macios, sabor frutado com toque especiado e acidez equilibrada",4,3,3,4,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Piemonte,13.5,"Barbera, Dolcetto, Freisa, Bonarda, Albarossa, Merlot, Syrah, Cabernet Sauvignon",Dezzani Srl,2022,2025,12 meses em barricas de carvalho francês,"Em latim, 8 Vites; em português, 8 vinhas. Miliasso 8 Vites foi feito a partir de um blend de 8 uvas cultivadas na célebre região do Piemonte. Isso porque este rótulo é, mais do que uma mistura de cepas, uma celebração da tradição e inovação que guiam o universo vinícola. Barbera, Dolcetto, Freisa, Bonarda e Albarossa representam a tradição do Piemonte, enquanto Merlot, Syrah e Cabernet Sauvignon dão o toque de inovação. Com 12 meses de amadurecimento em barricas, temos um vinho único e exclusivo, reconhecido com premiações de grandes concursos internacionais.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/miliasso-8-vites-rosso-piemonte-doc-2022.html
461,153,Vinho tinto italiano,Emporium Negroamaro-Primitivo Puglia IGT,Vermelho-rubi profundo,"Aromas de frutas vermelhas maduras, com notas de especiarias e tabaco","Agradável e macio, com taninos aveludados",4,3,3,4,"Carnes de caça, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Itália,Puglia,13,"Blend, Negroamaro, Primitivo, Uvas variadas",Provinco,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/emporium-primitivo-negroamaro.html
462,365,Vinho tinto chileno,Selection 92 Reserva Cabernet Sauvignon Valle Central 2023,Vermelho-rubi profundo,Aromas de frutas pretas e vermelhas,"Estruturado, harmônico e persistente",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Chile,Valle Central,12.5,Cabernet Sauvignon,Ravanal,2023,2025,,"Rainha das uvas tintas, a Cabernet Sauvignon, encontrou no Valle Central o terroir ideal para expressar sua essência única. E este rótulo da linha Selection 92 Reserva reflete essa sintonia por meio de seus aromas de frutas pretas e vermelhas, e paladar estruturado, harmônico e persistente. Para uma experiência de degustação completa, a nossa sugestão é harmonizar com costela ao molho barbecue, polpetone recheado ou queijo parmesão.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/ravanal-seleccion-92-reserva-cabernet-sauvignon-2023.html
465,53,Espumante Branco brasileiro,Alísios Moscatel,Amarelo-palha com reflexos esverdeados,"Fresco e típico, com notas de jasmim e outras flores brancas, guaraná, cítricos e mel","Leve, persistente e doce no paladar, com um final de boca jovial e refrescante",5,4,4,1,Sobremesas,Espumante Branco,750ml,Rolha,9,Brasil,Vale do São Francisco,7.5,Moscatel,Miolo Wine Group,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/al-sios-moscatel-189121.html
466,33,Vinho tinto português,Solouro Tinto,Vermelho-granada intenso,"Notas intensas de frutas vermelhas e pretas maduras, com toques minerais","Encorpado, redondo e frutado, com taninos marcantes e acidez equilibrada",3,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,15,Portugal,,12,"Touriga Franca, Tinta Roriz",Campelo,,2025,,,Ari Gorenstein,Sommelier da evino,https://www.evino.com.br/product/solouro-tinto-219041.html
467,103,Vinho tinto espanhol,Gran Delmio Gran Selección Tinto,Vermelho-rubi com reflexos violáceos,Frutas pretas e vermelhas com toques florais,Apresenta-se fresco e expressivo com corpo médio e taninos macios,4,1,2,3,"Carnes brancas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,16,Espanha,Castilha-La Mancha,11,Blend,Lozano,,2025,,"Se tivesse que definir Gran Delmio em uma palavra, seria equilíbrio. Com taninos macios, boa acidez, aromas frutados e notas florais, ele é um perfeito exemplar de como a tradição de uma vinícola centenária pode se traduzir em goles descomplicados e encantadores.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/lozano-gran-delmio-tinto.html
468,367,Vinho branco português,Influente Branco Vinho Regional Lisboa,Amarelo-palha,Aromas intensos de frutas frescas,"Fácil de beber, refrescante e acidez moderada",2,2,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho branco,750ml,Rolha de cortiça,6,Portugal,Lisboa,9.5,"Blend, Seara Nova, Vital",Adega Cooperativa do Cadaval,,2025,,"Com a missão de resgatar e promover uvas típicas da região de Lisboa, a Adega Cooperativa do Cadaval deu vida à versão branca de Influente. Apresentando um blend de Seara Nova e Vital, castas pouco conhecidas entre os brasileiros, este vinho é refrescante e fácil de beber. A combinação dessas variedades oferece acidez moderada ao paladar e aromas intensos de frutas frescas no nariz. Perfeito para ser apreciado sozinho, ele vai muito bem quando acompanhado com pratos mais leves, principalmente peito de frango grelhado, espaguete ao molho de limão siciliano e peixe branco cozido.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/adega-cooperativa-do-cadaval-influente-branco-2023.html
470,203,Vinho rosé chileno,Selection 92 Reserva Rosé Valle Central 2024,Rosa pálido,"Aromas de frutas vermelhas, como morango e goiaba","Vivaz, com doçura refrescante, final mineral, e notas de pêssego e frutas cítricas",4,1,3,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Rolha de cortiça,8,Chile,Valle Central,13,Blend,Ravanal,2024,2025,,"Fruto do trabalho árduo e da experiência centenária da família Ravanal, a versão Rosé da linha Selection 92 Reserva foi criada com uvas cultivadas no icônico terroir do Valle Central. Com aromas de frutas vermelhas, como morango e goiaba, ela apresenta vivacidade, com doçura refrescante, final mineral, e notas de pêssego e frutas cítricas no paladar. Na hora de harmonizar, aposte em pratos como salada caprese, canapés de salmão ou tábua de frios.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/ravanal-seleccion-92-reserva-rose-2024.html
472,411,Vinho tinto europeu,Lacharme,Vermelho-rubi profundo,Aromas de frutas vermelhas maduras,"Redondo e intenso, com notas frutadas",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,16,Europeu,Multirregional,11,Uvas variadas,Jean Chatelier,,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/lacharme-vce-rouge.html
473,15,Vinho rosé chileno,Lagunas Carménère Rosé Valle Central D.O. 2023,"Rosa pálido e brilhante, com nuances salmão","Notas de frutas como morango, framboesa, toranja e limão","Saboroso, vivaz, refrescante, agradável e frutado",4,1,4,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho rosé,750ml,Tampa de rosca,6,Chile,Valle Central,13,Carménère,Cremaschi Furlotti,2023,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/lagunas-rose-valle-central-d-o-2023.html
474,17,Vinho tinto argentino,Complicado Blend de Tintas Reserva 2019,Granada intenso com reflexos roxos,"Notas de frutas vermelhas maduras, como ameixa, cassis, morango e framboesa, e flores","Elegante, bom volume e final persistente",4,1,2,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,17,Argentina,Mendoza,13,Uvas variadas,Casa La Primavera,2019,2025,12 meses em barricas de carvalho americano e francês,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/complicado-blend-de-tintas-reserva-2019.html
478,30,Vinho tinto espanhol,Valtier Crianza Utiel-Requena DOP 2020,Vermelho-rubi intenso,"Intenso, com notas de ameixa madura, alcaçuz e carvalho, além de nuances picantes ","Equilibrado, harmonioso, frutado, com taninos firmes e redondos, e final longo e persistente",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,Utiel-Requena,13,"Bobal, Tempranillo",Marqués del Atrio,2020,2025,6 meses em barricas de carvalho americano,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/valtier-crianza-utiel-requena-dop-2020.html
479,372,Vinho tinto chileno,Vinchante Vin 266 Cabernet Sauvignon Central Valley 2022,Vermelho-rubi profundo,Notas intensas de frutas pretas,"Intenso, encorpado e persistente, com taninos suaves e toques de cassis",4,2,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Pratos apimentados, Queijos",Vinho tinto,750ml,Rolha,16,Chile,Valle Central,12.5,Cabernet Sauvignon,Ravanal,2022,2025,,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vinchante-vin-266-cabernet-sauvignon-central-valley-2022.html
480,47,Vinho branco italiano,Famiglia Rocca Collezione Oro Pinot Grigio Delle Venezie DOC 2023, Amarelo-palha pálido,Aromas de frutas brancas,"Saboroso, equilibrado e refrescante",3,1,3,1,"Carnes brancas, Frutos do mar, Saladas e aperitivos",Vinho branco,750ml,Rolha de cortiça,10,Itália,Vêneto,12.5,Pinot Grigio,Angelo Rocca e Figli Srl,2023,2025,Estágio em aço inoxidável,"Collezione Oro é uma expressão de ótimo custo-benefício produzida com a clássica uva Pinot Grigio. Elaborada na região vinícola italiana do Vêneto, este vinho reflete a tradição centenária da produtora Rocca, que, desde sua fundação, cultiva a essência do terroir em cada garrafa. Com aromas de frutas brancas, ela é saborosa, equilibrada e refrescante em boca, se tornando a opção ideal para harmonizar com peixes, frutos do mar, saladas e aperitivos. 
",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/angelo-rocca-pinot-grigio-delle-venezie-doc-2023.html
481,376,Espumante Branco espanhol,Don Simon Selección Brut Sparkling Wine,Amarelo-palha brilhante e intenso,"Expressivo, com notas de frutas cítricas, pera e maçã em compota, e nuances de panificação","Refrescante, elegante, saboroso, frutado e agradável, com borbulhas persistentes e final longo",4,1,4,1,"Carnes brancas, Frutos do mar, Queijos, Saladas e aperitivos",Espumante Branco,750ml,Rolha,4,Espanha,Castilla-La Mancha,11,Uvas variadas,J. Garcia Carrion,,2025,,"Após o sucesso inegável das versões tinta, branca e rosé da linha Don Simon, o espumante da família de vinhos espanhola mais vendida na Evino chegou ao Brasil. Refrescante, elegante e saboroso, ele tem borbulhas persistentes e final longo em boca. Além disso, revela no nariz aromas expressivos de frutas cítricas, pera e maçã em compota, com nuances de panificação. Perfeito para celebrar bons momentos com a família e os amigos, ele deve conquistar um lugar especial na sua adega. ",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/don-simon-brut.html
482,377,Vinho tinto espanhol,Valtier Roble Utiel-Requena DOP 2022,Vermelho-rubi intenso com tons violáceos,"Intenso, com aromas de frutas vermelhas","Equilibrado, redondo, com taninos maduros e final persistente",4,1,3,3,"Carnes de caça, Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha de cortiça,18,Espanha,Utiel-Requena,13,Uvas variadas,Marqués del Atrio,2022,2025,Estágio em barris de carvalho,,Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/valtier-roble-2022.html
483,14,Vinho tinto espanhol,Alcanta Monastrell Cabernet Sauvignon Tempranillo Alicante D.O. 2021,Vermelho-granada,"Fresco e frutado, com nuances de especiarias, frutos pretos maduros e balsâmico",Encorpado e saboroso com notas de frutas vermelhas maduras,4,1,2,3,Pizzas e massas de molho vermelho,Vinho tinto,750ml,Rolha de cortiça,17,Espanha,Alicante,12.5,"Monastrell, Cabernet Sauvignon, Tempranillo",Bodega Bocopa,2021,2025,,"Localizada no leste da Espanha, a Denominação de Origem Alicante é conhecida mundo afora por sua produção de vinhos de alta qualidade. E foi nesta região que a Bodegas Bocopa cultivou as vinhas que deram origem à versão tinta da família Alcanta, um exemplar vegano com aroma fresco e frutado, e paladar encorpado, saboroso, e rico em frutas vermelhas.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/alcanta-monastrell-cabernet-sauvignon-2021-335501.html
486,24,Vinho tinto italiano,Settecieli Primitivo Puglia IGT 2021,Vermelho-rubi profundo,"Aromas de frutos vermelhos, e notas de alcaçuz","Encorpado e intenso, com taninos marcantes e acidez agradável",4,1,3,3,"Carnes vermelhas, Pizzas e massas de molho vermelho, Queijos",Vinho tinto,750ml,Rolha,18,Itália,Puglia,13,Primitivo,Castellani,2021,2025,Envelhecimento em tanques de aço inoxidável,"Uva tradicional na Itália, a Primitivo é a grande protagonista da região da Puglia. De lá saem versões expressões intensas e agradáveis da casta, como o Settecieli. Com aromas intensos de frutas, ele apresenta paladar encorpado e marcante, e se mostra ideal para harmonizar com pratos da culinária italiana.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/settecieli-primitivo-di-puglia-2021-284571.html
487,43,Vinho tinto chileno,Dual Red Blend Valle Central D.O. 2023,Vermelho-rubi brilhante,Aromas de frutas vermelhas e pretas,"Fácil de beber, agradável e equilibrado, com taninos macios",3,1,2,3,"Carnes brancas, Carnes vermelhas, Queijos",Vinho tinto,750ml,Rolha,16,Chile,Valle Central,12.5,Blend,Viña del Pedregal,2023,2025,,"Produzido no célebre Valle Central chileno, este blend tinto promete agradar diferentes paladares com seu perfil jovem e frutado. Criado pela premiada Viña del Pedregal, Dual é um vinho fácil de beber, agradável e equilibrado, com taninos macios em boca, e aromas de frutas vermelhas e pretas. Ideal para vários momentos do dia a dia, ele permite harmonizações que vão desde um Yakisoba de frango até uma lasanha de berinjela.",Vinícius Santiago,Sommelier da evino,https://www.evino.com.br/product/vina-pedregal-dual-blend-tinto-2023.html
